rainfall_mm,soil_moisture_pct,displacement_mm,pore_pressure_kpa,slope_angle_deg,risk_label
48.0,45.6,0.04,31.1,19.2,Watch
21.0,45.5,0.6,14.7,44.2,Safe
38.1,53.0,1.26,9.6,21.5,Safe
60.2,17.5,0.8,55.4,28.2,Safe
76.3,31.3,9.86,43.3,32.3,Watch
28.1,62.5,3.16,20.9,44.6,Safe
23.9,56.9,1.06,27.6,42.0,Safe
12.8,5.0,7.96,25.2,33.5,Safe
78.9,51.8,4.05,13.1,44.1,Warning
154.5,26.4,1.0,21.9,46.3,Watch
84.7,34.3,1.43,41.8,27.2,Watch
97.4,40.9,0.67,21.5,28.1,Safe
22.7,73.0,10.63,37.0,39.5,Warning
57.7,26.2,2.19,21.6,49.0,Safe
72.0,19.7,6.79,12.2,25.1,Safe
16.6,53.1,1.28,47.9,13.6,Safe
119.7,44.5,5.92,0.0,38.5,Watch
10.5,66.7,0.17,56.8,45.6,Watch
107.6,38.6,12.07,45.0,33.3,Danger
10.4,66.8,7.29,32.7,58.3,Watch
17.3,45.3,1.35,23.3,23.6,Safe
58.4,54.5,4.47,24.5,24.6,Watch
44.0,74.2,4.19,33.0,24.4,Watch
30.4,42.0,6.95,32.8,32.9,Safe
116.7,63.8,1.1,15.6,33.1,Warning
13.1,34.0,1.88,31.0,24.3,Safe
37.0,49.1,6.01,33.9,43.2,Watch
63.7,19.0,4.52,25.5,34.7,Safe
51.4,35.9,1.5,63.6,21.7,Watch
24.6,26.0,5.61,28.0,38.1,Safe
25.4,67.0,0.14,3.5,27.8,Safe
75.5,76.3,4.57,14.8,33.0,Watch
78.0,38.6,0.69,40.6,40.9,Safe
52.4,31.1,1.01,19.2,42.0,Safe
20.2,21.3,2.04,15.1,41.2,Safe
26.1,49.8,1.79,50.9,32.5,Watch
41.0,34.2,2.21,32.5,22.3,Safe
45.6,35.1,2.36,21.0,28.8,Safe
61.9,74.3,1.21,0.0,32.2,Safe
35.5,39.7,0.58,39.3,47.5,Safe
74.4,55.6,4.39,30.2,26.7,Watch
73.8,46.0,1.53,49.5,34.0,Warning
99.6,20.6,2.11,13.6,19.7,Safe
42.3,11.8,3.1,24.4,35.4,Safe
53.0,53.8,7.21,34.5,31.5,Watch
37.6,75.7,3.69,48.8,30.7,Watch
20.4,50.7,0.14,33.9,40.5,Safe
152.3,56.2,5.47,19.4,25.1,Warning
91.3,28.7,13.63,49.5,46.0,Danger
72.8,63.3,1.92,25.3,24.4,Watch
41.3,63.0,10.48,32.7,45.7,Warning
18.9,32.5,2.38,41.3,16.0,Safe
81.7,54.8,1.85,53.4,35.1,Watch
37.1,13.2,1.21,35.5,38.1,Safe
56.5,58.0,3.21,68.8,28.4,Safe
26.0,34.7,0.78,28.7,34.8,Safe
50.1,22.9,0.33,34.4,28.4,Safe
27.4,52.2,0.08,20.7,36.5,Safe
28.2,13.1,1.04,34.8,34.5,Safe
49.6,51.2,1.51,34.5,54.2,Safe
10.2,24.6,2.41,45.7,18.2,Safe
10.7,20.8,1.04,36.7,34.0,Safe
22.5,46.1,12.42,22.1,27.8,Watch
35.2,41.9,1.03,33.8,33.2,Safe
75.9,71.2,1.74,19.9,30.6,Warning
36.7,21.9,0.33,38.2,28.5,Safe
41.1,69.8,0.91,21.6,26.8,Watch
33.0,24.5,0.15,9.0,39.1,Safe
53.0,61.5,2.46,13.0,28.3,Watch
20.3,64.9,4.17,12.4,31.8,Watch
38.3,50.8,0.65,22.1,33.9,Safe
56.0,30.8,1.38,17.3,24.8,Safe
49.3,17.6,0.05,29.7,38.1,Safe
42.1,9.9,5.49,24.1,22.4,Safe
42.5,78.3,4.54,37.7,36.9,Watch
59.9,39.7,0.2,35.7,36.0,Safe
157.0,25.1,1.36,25.1,30.7,Warning
21.5,24.4,9.32,48.6,21.1,Safe
159.8,48.0,1.49,16.1,32.1,Warning
20.6,37.9,2.24,45.1,21.7,Safe
3.8,10.5,1.32,32.3,30.9,Safe
26.9,60.6,2.72,24.1,39.9,Watch
53.7,51.0,11.47,46.9,31.8,Warning
136.3,78.1,17.98,38.4,44.5,Danger
18.9,65.5,4.47,13.9,35.0,Safe
59.6,5.0,1.55,35.5,39.7,Safe
11.9,70.5,2.05,35.4,39.2,Watch
133.1,66.7,1.32,45.1,46.1,Danger
92.5,31.7,12.72,38.8,18.9,Watch
28.3,37.2,3.69,39.9,26.8,Safe
102.4,52.4,1.79,23.4,32.3,Watch
38.1,26.7,0.04,26.9,40.0,Safe
95.7,40.6,2.2,26.2,33.7,Safe
41.8,63.0,12.39,6.0,31.9,Watch
43.2,54.3,2.22,49.3,42.3,Watch
28.8,33.0,0.6,13.2,28.6,Safe
65.2,63.4,0.07,34.0,28.2,Safe
45.7,50.5,1.31,25.0,37.2,Safe
60.6,49.8,7.51,26.4,55.9,Danger
9.2,35.7,17.01,40.2,31.8,Danger
98.0,44.9,8.72,18.3,25.5,Warning
114.5,31.1,3.92,36.8,26.3,Warning
45.5,10.1,2.45,37.0,28.3,Safe
149.8,40.0,2.68,18.4,45.3,Danger
127.9,42.8,2.32,43.7,28.3,Warning
66.2,47.5,3.68,50.5,35.0,Watch
103.3,66.8,1.63,60.4,31.1,Danger
86.0,33.3,3.32,26.1,18.9,Safe
6.8,38.4,0.39,32.9,28.7,Safe
33.6,58.8,0.93,33.8,7.3,Safe
69.4,31.5,5.42,40.0,33.8,Safe
119.4,47.8,7.02,56.2,36.9,Danger
11.1,37.7,2.32,37.3,23.5,Safe
7.3,40.6,0.1,37.7,26.6,Safe
39.9,58.6,7.85,13.6,18.6,Safe
4.2,38.3,3.63,60.7,9.8,Safe
38.9,59.2,1.6,22.9,16.9,Safe
54.7,9.9,2.74,0.0,38.5,Safe
18.1,19.3,1.69,0.0,28.9,Safe
39.7,5.0,1.88,34.9,34.1,Safe
80.7,24.0,6.54,10.9,52.4,Safe
26.8,78.4,0.53,30.8,42.0,Watch
21.0,44.7,0.33,7.6,37.4,Safe
38.3,32.0,0.01,34.6,27.2,Safe
16.4,59.1,1.13,38.5,47.6,Watch
142.7,61.6,0.48,32.6,44.4,Warning
42.8,23.0,0.75,19.6,40.9,Safe
22.9,90.0,0.03,43.2,32.0,Safe
49.0,50.0,0.77,24.0,22.8,Safe
38.1,52.2,1.21,27.2,47.2,Safe
34.9,54.0,0.1,22.4,40.7,Safe
26.8,53.9,2.81,26.0,30.0,Safe
25.7,33.8,2.52,58.1,29.2,Safe
9.4,83.0,0.31,29.9,19.8,Watch
103.2,39.9,2.71,11.0,39.6,Watch
63.2,62.2,19.83,15.6,33.7,Danger
52.5,36.5,8.67,25.9,36.0,Watch
37.7,33.3,0.01,18.1,41.3,Safe
17.8,79.2,4.76,44.2,39.2,Watch
21.7,43.0,1.31,8.7,23.3,Safe
10.6,44.4,0.2,28.2,32.2,Safe
24.1,50.1,1.05,45.2,36.1,Safe
15.6,91.8,1.16,20.5,36.9,Watch
123.3,84.0,2.22,36.6,16.1,Danger
77.1,68.1,3.25,29.4,21.9,Warning
44.2,96.4,4.15,29.5,38.6,Warning
19.6,28.0,0.85,37.7,38.4,Safe
16.4,56.8,1.16,2.1,48.1,Safe
35.8,46.4,1.11,48.1,16.5,Safe
79.3,13.2,1.35,1.5,41.0,Safe
10.9,53.3,23.93,47.0,35.8,Danger
62.6,36.2,4.51,36.5,21.5,Safe
24.0,72.6,11.07,37.1,14.3,Watch
27.8,37.9,3.54,54.2,41.4,Safe
43.3,36.9,1.56,47.8,22.2,Safe
20.2,72.6,1.48,42.2,18.9,Watch
34.4,43.8,2.01,25.6,36.5,Watch
18.7,65.9,1.62,24.6,31.9,Safe
25.7,52.6,5.29,42.6,37.7,Watch
71.1,52.9,1.88,36.8,36.3,Watch
45.0,40.6,1.05,34.5,65.5,Watch
70.9,54.0,4.47,29.1,39.2,Watch
23.7,42.6,5.78,23.9,38.6,Safe
62.9,30.5,1.64,9.2,23.2,Safe
8.1,43.1,3.31,39.7,47.6,Safe
43.2,68.2,0.18,27.3,26.9,Watch
65.9,54.6,2.26,26.3,22.9,Watch
7.8,58.8,0.14,2.8,29.9,Safe
24.0,45.0,0.09,31.4,36.4,Safe
43.2,10.1,2.85,9.5,27.4,Safe
83.3,23.0,1.08,23.5,23.2,Safe
25.7,39.8,4.07,41.9,23.0,Safe
61.2,24.6,6.79,30.9,34.1,Safe
107.7,35.6,0.45,28.4,37.6,Safe
63.2,34.9,3.87,19.1,38.4,Watch
35.5,35.5,2.17,21.8,16.4,Safe
54.8,70.9,0.36,53.8,23.7,Watch
25.1,44.0,3.16,41.7,41.3,Watch
44.5,61.8,2.82,23.1,27.8,Watch
36.8,48.0,2.17,28.4,34.0,Safe
53.5,70.5,7.83,33.7,58.3,Warning
29.7,63.4,2.21,36.6,9.5,Safe
55.7,34.4,13.97,29.6,30.7,Warning
29.5,80.3,2.14,3.4,39.1,Safe
76.6,36.8,0.37,29.5,22.2,Safe
32.0,48.6,1.91,28.6,30.7,Watch
4.4,51.8,0.6,60.9,20.0,Safe
16.9,53.8,2.73,70.4,37.8,Watch
42.3,59.3,3.54,39.6,25.3,Watch
122.6,31.4,1.9,19.8,27.7,Watch
74.6,57.8,0.31,40.2,41.0,Watch
3.3,55.5,1.9,4.5,37.6,Safe
9.8,45.0,0.25,22.0,41.7,Safe
90.6,41.6,3.44,5.6,49.6,Safe
65.6,30.5,4.69,38.3,32.7,Watch
166.3,53.6,9.84,11.8,53.2,Danger
28.5,33.1,0.48,25.7,33.9,Safe
19.8,49.3,2.28,29.3,45.2,Safe
44.0,43.2,2.51,29.6,31.7,Safe
28.1,21.0,7.67,22.9,40.4,Watch
84.9,28.2,2.96,35.1,27.7,Watch
27.3,52.3,0.47,11.2,45.4,Safe
33.5,35.6,1.72,56.1,43.5,Safe
17.4,34.9,3.19,14.5,29.9,Safe
71.2,31.2,3.61,30.6,33.6,Watch
18.4,31.9,5.96,39.4,22.6,Safe
56.5,74.6,0.6,40.2,41.3,Warning
136.3,24.8,9.08,41.6,40.4,Warning
6.6,71.5,0.18,6.1,19.7,Safe
111.0,39.0,12.36,16.2,53.7,Danger
51.4,33.2,5.85,32.0,36.0,Watch
14.9,51.9,3.24,37.2,29.7,Safe
45.3,46.0,3.98,48.9,44.0,Watch
69.8,41.4,0.23,22.3,26.8,Safe
21.0,49.0,0.13,16.4,45.1,Safe
58.8,45.7,0.32,21.8,20.2,Safe
117.1,41.1,0.27,63.9,29.8,Watch
27.2,61.8,2.38,52.5,31.1,Watch
17.2,19.0,0.73,27.5,26.6,Safe
37.7,28.5,5.9,49.3,24.6,Safe
43.5,30.8,1.77,21.4,27.1,Safe
87.9,26.0,3.57,44.3,26.7,Warning
36.8,46.5,3.17,9.3,27.3,Safe
29.4,54.1,1.16,35.3,46.3,Safe
16.8,9.7,0.84,45.3,36.3,Safe
7.8,36.5,1.26,25.1,31.1,Safe
12.4,39.2,4.78,39.2,39.6,Safe
12.3,39.9,2.65,21.6,31.0,Safe
33.8,21.9,0.88,34.6,24.1,Safe
9.5,39.4,5.11,22.8,15.9,Safe
39.9,28.6,0.17,42.3,41.9,Watch
134.4,39.0,3.6,11.0,9.7,Watch
89.6,14.0,1.73,14.8,16.9,Safe
33.6,39.1,3.94,49.6,37.0,Watch
192.1,32.1,7.87,0.0,31.8,Danger
43.6,40.3,4.16,20.4,46.6,Watch
48.4,50.4,1.75,27.9,25.6,Watch
37.2,44.2,0.49,35.3,39.7,Safe
40.6,59.3,4.93,22.8,30.2,Watch
26.5,38.5,1.85,13.1,37.5,Safe
34.0,56.1,0.23,48.4,33.7,Safe
111.5,65.2,3.81,45.8,37.0,Warning
96.2,49.9,1.04,24.3,34.1,Watch
4.2,44.6,0.15,3.1,34.9,Safe
10.7,52.5,6.99,34.6,21.1,Safe
21.3,50.6,1.98,32.7,32.8,Safe
79.7,63.0,0.99,20.0,38.0,Watch
97.7,59.3,3.78,0.7,31.5,Watch
69.6,59.5,6.51,25.9,31.0,Watch
14.8,45.8,0.0,41.5,13.2,Safe
26.9,51.1,3.49,43.8,47.3,Watch
59.5,50.8,4.37,29.3,18.3,Watch
34.4,23.3,0.71,20.6,25.8,Safe
30.7,64.2,2.02,41.0,24.1,Watch
31.1,15.0,0.28,12.9,35.0,Safe
91.4,57.8,4.12,9.7,35.4,Watch
63.9,49.8,5.64,28.7,38.6,Safe
32.5,39.9,0.34,53.2,39.0,Watch
53.1,52.0,5.09,53.8,49.2,Danger
12.9,52.5,4.43,10.2,28.9,Safe
27.0,21.5,1.28,23.4,23.7,Safe
85.5,70.5,3.52,66.5,29.7,Danger
8.9,46.3,0.0,19.7,20.9,Safe
64.4,86.7,8.06,54.3,28.5,Danger
4.1,59.2,2.4,44.6,16.5,Safe
123.9,45.9,2.91,47.9,23.6,Watch
26.4,32.6,3.28,23.3,15.1,Safe
55.9,43.0,2.47,23.8,44.1,Safe
45.5,47.7,5.83,16.3,33.1,Watch
46.7,71.4,2.82,42.0,50.8,Warning
52.4,67.1,7.15,5.5,43.1,Warning
7.3,53.1,2.62,27.5,44.1,Watch
47.4,76.8,0.56,54.5,30.6,Danger
36.0,8.7,7.35,38.9,36.9,Safe
26.6,53.3,3.43,45.0,23.0,Watch
21.3,67.6,3.6,5.3,26.7,Safe
48.3,54.9,12.7,15.1,32.1,Watch
17.4,21.0,0.23,47.8,14.6,Safe
84.5,70.0,1.68,31.9,26.9,Warning
58.9,58.7,0.82,14.4,39.9,Safe
50.5,51.2,2.99,39.4,27.1,Watch
82.1,46.6,4.93,22.0,24.6,Watch
6.0,80.9,10.17,68.1,28.2,Warning
12.5,53.0,1.82,39.0,39.5,Safe
60.7,40.6,4.63,16.2,35.6,Watch
22.4,30.4,7.47,43.2,29.7,Safe
24.9,58.6,3.45,54.2,32.2,Watch
10.8,62.8,0.83,29.9,40.6,Safe
17.4,46.0,2.81,18.5,45.1,Safe
85.8,35.0,10.51,30.7,27.3,Watch
59.7,68.9,13.16,20.8,31.2,Watch
47.9,29.0,3.08,26.1,44.4,Safe
25.7,80.5,6.54,9.2,37.2,Watch
45.7,31.8,0.67,43.1,18.0,Safe
90.9,22.0,0.85,12.8,23.1,Safe
22.8,24.3,9.17,39.1,23.4,Safe
40.5,25.0,0.44,25.4,27.8,Safe
128.9,40.7,0.64,33.3,35.7,Danger
68.9,36.6,1.64,22.9,50.9,Watch
26.0,63.4,2.67,32.9,31.2,Safe
65.1,60.9,2.78,36.5,38.6,Watch
8.8,41.0,1.04,24.7,43.3,Safe
39.3,100.0,7.6,4.1,46.9,Warning
65.1,40.7,7.4,35.1,43.3,Watch
55.2,43.1,1.49,35.9,24.5,Watch
64.6,22.0,1.71,8.5,17.5,Safe
74.8,43.6,3.64,15.3,25.7,Safe
58.3,50.4,3.26,24.8,33.7,Watch
57.1,23.7,1.45,0.0,24.6,Safe
48.7,36.0,1.6,40.6,15.7,Watch
15.6,50.9,1.28,22.7,19.8,Safe
85.7,35.6,0.81,34.3,62.1,Warning
40.4,31.8,1.84,14.1,29.8,Safe
67.8,59.1,3.48,60.3,50.0,Warning
79.9,21.9,4.06,8.7,29.7,Safe
27.1,25.4,4.53,22.5,39.9,Safe
29.2,48.2,1.41,48.0,30.6,Safe
32.5,60.2,4.34,12.8,32.1,Safe
96.8,50.5,0.02,31.4,39.8,Watch
18.9,41.0,1.94,39.4,28.0,Safe
108.0,39.5,4.74,7.4,20.1,Danger
48.3,63.2,2.98,20.0,23.9,Watch
50.9,60.5,1.93,32.9,23.9,Watch
77.5,45.9,3.1,36.8,32.8,Watch
44.4,40.0,7.12,17.7,13.0,Safe
86.4,45.6,2.51,57.6,35.1,Watch
27.1,31.9,4.83,37.2,44.7,Safe
105.7,42.3,11.85,41.6,26.9,Warning
28.9,36.2,3.67,40.8,25.5,Safe
108.4,43.2,2.56,6.6,51.7,Watch
29.5,36.8,0.11,28.3,46.7,Safe
33.2,54.4,1.41,29.8,36.3,Safe
16.9,59.7,2.5,26.2,24.5,Safe
21.5,38.2,4.79,33.1,37.8,Safe
40.6,30.4,1.73,0.0,21.9,Safe
49.7,57.8,9.66,31.9,18.8,Watch
82.2,48.3,0.95,25.5,36.5,Safe
35.1,38.4,4.09,0.0,27.2,Safe
55.3,69.8,1.63,36.3,11.8,Watch
47.3,34.8,2.0,12.3,37.9,Safe
59.7,9.1,4.87,24.3,46.6,Safe
24.3,32.3,1.05,26.2,38.6,Safe
26.8,74.1,0.31,2.3,27.0,Safe
24.3,39.3,2.2,4.0,10.6,Safe
93.0,35.7,2.26,38.2,33.5,Warning
106.4,45.5,4.79,20.9,25.4,Watch
25.8,63.2,10.36,24.1,23.0,Safe
26.3,43.5,0.17,31.1,12.5,Safe
65.6,55.6,2.69,3.6,50.8,Watch
114.2,41.6,3.43,23.9,21.0,Watch
130.7,55.8,12.76,28.3,13.8,Danger
24.9,48.2,8.57,56.5,48.9,Watch
30.4,37.8,3.74,16.2,32.3,Safe
51.6,49.6,2.21,41.8,30.8,Watch
53.4,35.2,0.53,30.0,35.1,Safe
36.2,20.2,1.45,13.0,36.4,Safe
20.8,44.6,2.64,20.5,34.1,Warning
40.6,21.8,3.88,43.0,16.9,Safe
130.6,55.8,3.03,41.7,16.2,Warning
27.1,44.3,3.76,22.2,24.7,Safe
49.3,70.6,1.68,35.2,26.9,Warning
188.0,39.1,3.9,14.4,28.4,Danger
26.8,44.6,0.47,27.4,34.3,Safe
67.8,18.5,0.53,23.6,29.2,Safe
134.2,25.1,0.53,44.0,25.2,Safe
63.8,14.8,6.65,36.9,35.9,Safe
88.7,64.4,0.24,19.9,39.1,Warning
74.2,36.7,4.85,21.4,23.9,Watch
60.3,68.9,0.8,29.6,18.3,Safe
104.1,5.0,1.9,27.6,33.8,Safe
66.3,72.9,7.43,25.8,27.8,Warning
36.5,43.8,2.65,24.7,40.4,Watch
46.6,51.1,0.71,50.7,22.1,Safe
54.7,25.9,1.0,23.2,19.9,Safe
30.2,54.5,7.59,34.5,25.7,Watch
48.1,38.3,1.67,66.3,37.2,Warning
43.2,23.5,2.65,17.3,28.5,Safe
66.2,23.3,1.85,32.9,31.1,Safe
157.7,22.9,1.43,33.7,27.0,Watch
50.2,51.8,0.76,29.8,42.2,Watch
116.1,33.6,3.48,30.6,36.8,Warning
64.5,15.5,3.8,16.8,16.8,Safe
48.0,51.6,0.96,35.4,41.0,Watch
28.9,5.9,4.67,2.4,37.9,Safe
48.3,68.9,5.78,57.0,42.8,Warning
46.1,80.8,7.6,55.7,26.7,Danger
22.9,21.4,0.53,25.1,22.6,Safe
26.1,63.9,1.09,45.8,31.2,Safe
55.1,51.3,5.91,25.6,33.6,Watch
115.4,36.0,0.66,30.1,43.9,Watch
39.6,36.8,0.01,19.8,38.4,Safe
10.2,56.8,6.14,42.3,33.5,Watch
16.6,44.3,1.19,21.3,30.7,Safe
69.0,5.0,1.61,41.8,32.2,Safe
12.5,82.3,1.77,29.4,28.1,Watch
76.6,52.8,5.66,29.7,38.8,Warning
66.4,44.1,1.24,7.6,17.5,Safe
38.5,32.1,6.68,30.9,32.1,Safe
23.1,41.6,2.88,12.8,42.4,Safe
34.4,67.8,2.25,30.9,20.6,Watch
54.1,49.7,1.18,59.1,51.4,Watch
12.9,51.8,0.84,9.2,21.2,Safe
107.8,22.5,2.93,27.8,27.0,Watch
53.7,38.7,1.78,20.5,42.3,Safe
58.2,45.9,7.24,14.4,46.5,Safe
66.0,57.5,2.03,18.1,35.6,Watch
101.0,37.5,2.15,52.1,35.3,Watch
48.3,61.7,1.62,56.0,49.9,Watch
69.0,24.4,4.67,14.3,18.3,Safe
23.4,46.3,1.66,36.0,14.8,Safe
131.0,43.2,0.94,16.2,12.8,Watch
45.9,17.7,5.94,19.8,23.5,Safe
23.3,44.1,2.73,0.0,24.8,Safe
28.9,34.5,2.69,62.0,35.8,Safe
5.6,70.4,2.83,46.5,42.1,Safe
28.7,37.6,3.81,20.2,41.1,Safe
2.2,51.3,1.13,34.3,40.8,Safe
72.5,22.8,0.1,24.0,22.4,Safe
57.0,49.3,4.99,44.2,35.8,Safe
17.6,37.5,0.41,24.9,24.7,Safe
40.1,31.0,3.84,27.1,38.0,Safe
41.6,96.0,0.26,20.1,32.4,Watch
14.3,38.6,1.41,39.1,40.8,Safe
34.9,41.2,0.2,63.1,55.8,Safe
42.5,61.2,2.22,25.7,31.7,Safe
34.2,31.2,3.18,25.6,21.0,Safe
23.3,52.3,0.56,29.6,15.7,Safe
17.0,54.2,1.39,33.9,23.0,Safe
33.2,49.4,7.99,25.5,42.7,Watch
25.8,86.3,1.75,24.1,36.8,Safe
63.0,30.5,4.87,31.2,34.3,Watch
105.1,72.7,7.86,3.7,35.8,Watch
79.2,53.5,10.99,21.8,39.2,Danger
43.6,61.4,6.86,0.0,16.4,Watch
24.1,51.1,1.15,22.6,41.9,Watch
77.8,78.8,9.86,15.8,35.9,Danger
65.7,39.2,5.02,39.4,17.6,Safe
